Classe,Age,Cle_logbook,Freq_comm_ecrit,Lecture_comm_ecrit,Objectif_commentaire,Texte_objectif_comm_ecrit,Impact_comm_ecrit,Comp_comm_ecrit,Freq_comm_oral,Moment_comm_oral,Comp_comm_oral,Impact_comm_oral,Prof_comm_oral_prive,Gene_comm_oral,Raison_gene_comm_oral,Raison_gene_autre,Pref_ecrit_oral,Pref_ecrit_oral_texte,Pref_freq_oral,Besoin_comm_oral,Besoin_comm_oral_text,Motiv_comm,Motiv_text,Peur,Methodes_travail,Commentaire_libre,Image1,Image2,Créé à
3e,13-14 ans,2PYGUE,Rarement,Je regarde juste le résultat (note ou compétences),Comprendre pourquoi j'ai eu cette note,,Je ne sais pas,"Je demande à un camarade, ""Je laisse tomber, tant pis""",Parfois,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations, Je ne m’en souviens pas","Non, c'est rarement clair pour moi",Pas vraiment,Je n'ai pas de préférence,Jamais,"J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif, Je n'ai pas compris et je n'ai pas osé demander, ""Autre, complète ci-contre"", Cela ne m'est jamais arrivé",,Oraux,JSP,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre, ""Autre, complète ci-dessous.""",,Ils n'ont pas d'effet sur ma motivation,,"Jamais, j'ose toujours demander",Je ne prépare pas vraiment,NN,,,2025-10-15 11:35am
3e,13-14 ans,190350,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Je ne sais pas,"Je demande des explications au professeur, Je demande à un camarade, J'ai peur de poser la question",Parfois,"Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations",La plupart du temps,Je ne sais pas,Je n'ai pas de préférence,"Parfois, selon ce qui est dit","""Autre, complète ci-contre""","bah je n'aime pas les commentaires , pour moi , même positifs je prend sa comme si c'était un jugement silencieux .",Je n'ai pas de préférence,dans les deux cas je prend sa un peu mal .,Je ne sais pas,"""Autre, complète ci-dessous.""",je ne sais pas.,Ils n'ont pas d'effet sur ma motivation,je prend sa un peu mal mais aussi un peu bien,"Toujours, je n'ose pas poser de questions","Je relis le cours, Je révise avec des camarades, Je ne prépare pas vraiment",je ne sais pas,,,2025-10-15 11:35am
3e,13-14 ans,Q911VZ,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"Je demande à un camarade, ""Je laisse tomber, tant pis""",Parfois,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Souvent, je n'aime pas ça",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,,Non,Des conseils concrets pour progresser,,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision",,,,2025-10-15 11:35am
3e,13-14 ans,OBO3I7,Parfois,Je regarde juste le résultat (note ou compétences),Savoir ce que j’ai bien fait,,Pas du tout,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Rarement,Pendant une discussion individuelle (juste avec moi),Parfois c'est un peu flou,Je ne sais pas,Cela dépend du type de commentaire,"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Oraux,quand je vois ma note je ne vois pas le commentaire négatif au moins (si ces une mauvaise note),Non,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",,"Toujours, je n'ose pas poser de questions","Je relis le cours, Je fais des fiches de révision",les commentaire positifs encourage l'élèves mais si cest négatif ca peut découragé l'élèves et lui faire perdre sa motivation,,,2025-10-15 11:39am
3e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,SAVOIR SE QUE JE DOIS AMELIORE,Un peu,"Je demande des explications au professeur, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,PARCE QUE J AIME BIEN LES DEUX,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils n'ont pas d'effet sur ma motivation,PARCE QUE,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Rien de tout cela suivre le cours me suffit",NON,,,2025-10-15 11:50am
3e,13-14 ans,19brse,Parfois,La plupart du temps,Savoir ce que je dois améliorer,,Pas vraiment,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,"Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",Parfois c'est un peu flou,Pas vraiment,Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Un mélange des deux,faut varier,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",parce que ,"Parfois, ça dépend du professeur","Je relis le cours, Je me fais aider par une I.A., Je révise avec des camarades, Rien de tout cela suivre le cours me suffit",il sont trop la pour nous rabaisser nous mettre des punition etc ,,,2025-10-15 11:50am
3e,13-14 ans,KLRVVV,Rarement,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,et voir les erreur que Jai faite pour m'améliorer,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,"Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Écrits,je ne sais pas,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices",,,,2025-10-15 11:51am
3e,13-14 ans,KIB73X,Parfois,"Oui, je les lis toujours attentivement",Être encouragé(e),jsp,Un peu,"""Je laisse tomber, tant pis""","Oui, souvent","Pendant la correction collective devant toute la classe, Pendant des travaux en groupes","Oui, toujours, c'est très clair",Pas vraiment,En privé (juste moi et le professeur),Jamais,J'ai eu l'impression d'être jugé(e) devant les autres,,Oraux,jsp,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",jsp,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision",non,,,2025-10-15 11:51am
3e,13-14 ans,EPK525,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande à mes parents, J'ai peur de poser la question",Parfois,"Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations",La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Je n'ai pas compris et je n'ai pas osé demander",,Je n'ai pas de préférence,"Cela ne me dérange pas car dans les deux cas, cela m'aide à progresser",Non,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,Cela m'encourage car cela me montre ce que je dois faire pour réussir,"Toujours, je n'ose pas poser de questions","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades","Non, pas besoin",,,2025-10-15 11:51am
3e,13-14 ans,4GB7E4,"Oui, souvent",La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,Je ne m’en souviens pas,La plupart du temps,Pas vraiment,En privé (juste moi et le professeur),"Toujours, je suis gêné",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,Car il y a que moi qui voit le commentaires ,Non,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,car je sais ce que je dois corriger,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision",Non ,,,2025-10-15 11:53am
3e,13-14 ans,29IL1K,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Pas du tout,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,Je ne m’en souviens pas,Parfois c'est un peu flou,Pas vraiment,En privé (juste moi et le professeur),Jamais,Cela ne m'est jamais arrivé,,Écrits,Car l'écrit me permet de mieux comprendre,Non,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils n'ont pas d'effet sur ma motivation,Car ils me servent a rien,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",Non,,,2025-10-15 11:53am
3e,13-14 ans,CMDK60,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Je ne sais pas,"Je demande des explications au professeur, Je demande à un camarade",Parfois,Pendant une discussion individuelle (juste avec moi),Parfois c'est un peu flou,Pas vraiment,En privé (juste moi et le professeur),"Toujours, je suis gêné",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,car comme ça il y a personne qui sait,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts""",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision",je sais pas ,,,2025-10-15 11:53am
3e,13-14 ans,K3CN9B,"Oui, souvent",La plupart du temps,Être encouragé(e),,Pas vraiment,Je demande des explications au professeur,Parfois,Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair","Oui, un peu",En privé (juste moi et le professeur),"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif",,Écrits,car il y a que moi qui vois les commentaires ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,Ils n'ont pas d'effet sur ma motivation,je n'ai pas besoin de commentaires pour avoir de bonnes notes,"Parfois, ça dépend du professeur","Rien de tout cela suivre le cours me suffit, Je ne prépare pas vraiment",,,,2025-10-15 11:53am
3e,13-14 ans,2Y6773,"Oui, souvent",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Pas du tout,"""Je laisse tomber, tant pis""",Parfois,Je ne m’en souviens pas,Parfois c'est un peu flou,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,comme ça je suis la seule à voir,Non,"Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils n'ont pas d'effet sur ma motivation,parce que je ne m'en souviens jamais,"Parfois, ça dépend du professeur","Je relis le cours, Je ne prépare pas vraiment",non,,,2025-10-15 11:54am
3e,13-14 ans,HOQ1XW,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,"Pendant des travaux en groupes, Pendant une discussion individuelle (juste avec moi)",Souvent je ne comprends pas bien,"Oui, un peu",Je n'ai pas de préférence,"Parfois, selon ce qui est dit",Le commentaire était trop négatif,,Oraux,je réussi mieux,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision",,,,2025-10-15 11:54am
3e,13-14 ans,6NCBU6,Parfois,"Oui, je les lis toujours attentivement",Être encouragé(e),,Un peu,"Je demande des explications au professeur, Je demande à un camarade","Oui, souvent",Pendant les pauses ou récréations,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça",Les autres élèves se sont moqués,,Écrits,Parce que cela ne regarde que nous et que nous pouvons le relire quand on en a besoin,Non,"Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent toujours à mieux faire,parce qu'il me pousse toujours a aller plus loin,"Jamais, j'ose toujours demander","Je relis le cours, Je révise avec des camarades, Rien de tout cela suivre le cours me suffit, Je ne prépare pas vraiment","non, selon moi, la plupart des professeurs sont honnêtes tant qu'a la qualités du travail que les efforts a faire.",,,2025-10-15 11:54am
3e,13-14 ans,DKLKUA,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande à un camarade,Rarement,"Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations",Parfois c'est un peu flou,Pas vraiment,Je n'ai pas de préférence,"Rarement, ça va",Cela ne m'est jamais arrivé,,Écrits,Parce que lorsque le commentaire et écrit je n'ai pas le jugement du professeur.,Non,Des conseils concrets pour progresser,,"Parfois ça m'encourage, parfois ça me décourage",Parce que parfois ça me fais réaliser que c'est compliqué,"Jamais, j'ose toujours demander","Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",Il faut continuer ainsi.,,,2025-10-15 11:55am
3e,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Pas du tout,"Je demande des explications au professeur, Je demande à un camarade",Jamais ou presque jamais,Je ne m’en souviens pas,Parfois c'est un peu flou,Pas du tout,En privé (juste moi et le professeur),"Souvent, je n'aime pas ça",Cela ne m'est jamais arrivé,,Écrits,car c'est un peu privé,Je ne sais pas,"Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent souvent,,Souvent,"Je relis le cours, Je fais des fiches de révision",,,,2025-10-15 11:55am
5e,11-12 ans,,"Oui, souvent",La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Parfois,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,"Rarement, ça va","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif, Je n'ai pas compris et je n'ai pas osé demander",,Un mélange des deux,je sais pas,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,je sais pas,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",non,,,2025-10-15 12:21pm
5e,11-12 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Je ne sais pas,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Rarement,Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair",Pas vraiment,"Devant la classe, ça ne me dérange pas",Jamais,Cela ne m'est jamais arrivé,,Oraux,Parce que il me fais plus comprendre ,Oui,Des conseils concrets pour progresser,,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur",Je relis le cours,Non.,,,2025-10-15 12:59pm
4e,11-12 ans,,"Oui, souvent","Parfois, ça dépend de la matière ou de la note",Être encouragé(e),,Pas du tout,"Je demande des explications au professeur, Je demande à un camarade",Parfois,Je ne m’en souviens pas,Souvent je ne comprends pas bien,Pas du tout,Je préfère éviter les commentaires oraux,"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Je n'ai pas de préférence,,Non,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",,"Toujours, je n'ose pas poser de questions","Je relis le cours, Je fais des fiches de révision",Non ,,,2025-10-15 1:40pm
4e,13-14 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,J'ai peur de poser la question,"Oui, souvent","Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",Parfois c'est un peu flou,Pas du tout,"Devant la classe, ça ne me dérange pas",Jamais,"J'ai eu l'impression d'être jugé(e) devant les autres, Je n'ai pas compris et je n'ai pas osé demander, ""Autre, complète ci-contre""",,Écrits,,Je ne sais pas,"Ce que je dois corriger précisément, Des encouragements pour me motiver",,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je fais des fiches de révision, Je me fais aider par une I.A., Je révise avec des camarades, Rien de tout cela suivre le cours me suffit",Nn,,,2025-10-15 2:22pm
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Rarement, ça va",J'ai eu l'impression d'être jugé(e) devant les autres,,Je n'ai pas de préférence,Sa dépend du commentaire et du professeur ,Non,Des exemples pour mieux comprendre,,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision",,,,2025-10-15 2:22pm
5e,11-12 ans,,Jamais ou presque jamais,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents",Jamais ou presque jamais,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,Ils m'encouragent souvent,,Souvent,Je relis le cours,,,,2025-10-15 2:26pm
3e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire","Oui, souvent","Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",Parfois c'est un peu flou,Pas vraiment,Je préfère éviter les commentaires oraux,"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,"Ma mémoire est beaucoup plus visuel que auditive,la plus part du temps je n'arrive pas à retenir ce qui est dit.",Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage","Cela dépend si ils sont négatifs ou positif, ou plus rarement de mon humeur ","Toujours, je n'ose pas poser de questions","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades","J'aimerais juste que lorsque j'ai une mauvaise note par exemple, quelle ne soit pas dévoiler sans mon autorisation c très gênant et humiliant même si je sais que se n’est pas se que vous voulez nous faire passer",,,2025-10-15 3:02pm
4e,13-14 ans,,Parfois,La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,Je ne m’en souviens pas,"Oui, toujours, c'est très clair","Oui, un peu","Devant la classe, ça ne me dérange pas",Jamais,Cela ne m'est jamais arrivé,,Un mélange des deux,car on peut demander au professeur si on n'as pas compris le commentaires écrit,Je ne sais pas,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,Parceque,"Jamais, j'ose toujours demander","Rien de tout cela suivre le cours me suffit, Je ne prépare pas vraiment",N0N,,,2025-10-15 3:03pm
4e,11-12 ans,,"Oui, souvent","Parfois, ça dépend de la matière ou de la note",Savoir ce que je dois améliorer,,Pas vraiment,J'essaie de deviner ce que ça veut dire,Parfois,Je ne m’en souviens pas,"Non, c'est rarement clair pour moi","Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va",Cela ne m'est jamais arrivé,,Écrits,,Non,Ce que je dois corriger précisément,,"Parfois ça m'encourage, parfois ça me décourage",,"Toujours, je n'ose pas poser de questions","Je suis des cours particuliers, Rien de tout cela suivre le cours me suffit",,,,2025-10-15 5:28pm
6e,11-12 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,,"Oui, beaucoup",Je demande à mes parents,"Oui, souvent",Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, beaucoup, c'est plus clair qu'à l'écrit",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Je n'ai pas de préférence,,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je révise avec des camarades",,,,2025-10-15 5:40pm
5e,11-12 ans,,"Oui, souvent",La plupart du temps,Savoir ce que j’ai bien fait,,Un peu,Je demande des explications au professeur,Rarement,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu","Devant la classe, ça ne me dérange pas",Jamais,Cela ne m'est jamais arrivé,,Écrits,Je sais pas,Je ne sais pas,Ce que je dois corriger précisément,,Ils m'encouragent toujours à mieux faire,Je sais pas ,"Parfois, ça dépend du professeur",Je relis le cours,Non,,,2025-10-15 5:45pm
CAP,15-16 ans,,Parfois,"Parfois, ça dépend de la matière ou de la note",Savoir ce que j’ai bien fait,,Je ne sais pas,"""Je laisse tomber, tant pis""","Oui, souvent",Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Toujours, je suis gêné",J'ai eu l'impression d'être jugé(e) devant les autres,,Oraux,je ne lis pas,Oui,Des exemples pour mieux comprendre,,"Parfois ça m'encourage, parfois ça me décourage",sa depend de la note,"Parfois, ça dépend du professeur",Je relis le cours,non,,,2025-10-15 7:19pm
4e,13-14 ans,,Parfois,La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Pas vraiment,Je demande des explications au professeur,Jamais ou presque jamais,Je ne m’en souviens pas,Parfois c'est un peu flou,Pas vraiment,Je n'ai pas de préférence,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,parce que a l'oral je suis jugée devants  les autres,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",parce que les commentaires peuvent négatifs,Souvent,Rien de tout cela suivre le cours me suffit,,,,2025-10-15 7:38pm
5e,11-12 ans,,"Oui, souvent",La plupart du temps,Savoir ce que j’ai bien fait,,Un peu,Je demande à un camarade,Jamais ou presque jamais,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,Aucun ne me dérange ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts""",,Ils n'ont pas d'effet sur ma motivation,,"Parfois, ça dépend du professeur",Je relis le cours,Non je n'ai rien a dire,,,2025-10-15 7:58pm
4e,13-14 ans,Jolly,Parfois,Je regarde juste le résultat (note ou compétences),Savoir ce que j’ai bien fait,,Un peu,"Je demande des explications au professeur, ""Je laisse tomber, tant pis""",Rarement,Je ne m’en souviens pas,Parfois c'est un peu flou,"Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va",Les autres élèves se sont moqués,,Un mélange des deux,Car j aime bien les deux ,Je ne sais pas,Des exemples pour mieux comprendre,,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur",Je relis le cours,,,,2025-10-15 8:09pm
4e,13-14 ans,,Parfois,La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande des explications au professeur,Jamais ou presque jamais,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va",J'ai eu l'impression d'être jugé(e) devant les autres,,Un mélange des deux,,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades",,,,2025-10-15 8:24pm
5e,11-12 ans,,Parfois,La plupart du temps,Savoir ce que je dois améliorer,,Pas vraiment,J'essaie de deviner ce que ça veut dire,"Oui, très souvent",Je ne m’en souviens pas,"Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit",Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Écrits,Je ne sais pas ,Non,Ce que je dois corriger précisément,,Ils n'ont pas d'effet sur ma motivation, Car cela ne change rien ,Souvent,"""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",Non mes professeurs sont très bien ,,,2025-10-15 8:29pm
4e,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,,Pas du tout,J'essaie de deviner ce que ça veut dire,Parfois,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",Les autres élèves se sont moqués,,Écrits,Car elle peut rester anonyme,Oui,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",Non pas vraiment il on tousse leur méthode différentes et matières distin ,,,2025-10-15 9:10pm
4e,13-14 ans,,"Oui, souvent","Parfois, ça dépend de la matière ou de la note",Savoir ce que je dois améliorer,,Pas vraiment,"Je demande des explications au professeur, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Rarement,Pendant une discussion individuelle (juste avec moi),La plupart du temps,Pas du tout,En privé (juste moi et le professeur),"Parfois, selon ce qui est dit",Le commentaire était trop négatif,,Écrits,Je pourrais le relire alors que à l’oral le lendemain j’aurais déjà oublié ,Non,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je me fais aider par une I.A.",,,,2025-10-15 9:30pm
